,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
700,1,골목상권,성심여자고등학교,한식음식점,868363436,31634,748083265,120280171,155386086,163513495,167949256,120054314,141180114,73240312,47039859,540144,11289550,393283494,75333261,309787277,78129710,444017438,151930914,1131411,49427579,112179586,143890695,168958291,120360794,28068,3566,5995,5954,5845,4976,5298,2203,1363,10,565,19989,2499,7256,1315,18148,6668,133,3849,5447,5748,5590,4049,73
701,1,골목상권,성심여자고등학교,중식음식점,219583355,9667,173371286,46212069,35018713,41115354,35664883,27191400,34380936,25273146,20938923,0,585540,118683325,35401050,64838944,74496,111259460,35776999,208660,10509939,27303895,46434123,41411669,21168175,7656,2011,1548,1721,1586,1334,1467,1113,898,0,35,5608,1550,2469,5,5579,1789,17,637,1338,2252,2008,1119,12
702,1,골목상권,성심여자고등학교,일식음식점,50016956,1174,45506386,4510570,6032141,10970483,6362447,12199653,9941662,4510570,0,0,0,25812581,4039478,16580267,3584630,20392319,9172753,0,720175,3254324,7894850,8328037,9367689,1065,109,168,226,189,238,244,109,0,0,0,758,119,265,32,433,270,0,32,119,178,196,179,3
703,1,골목상권,성심여자고등학교,치킨전문점,71570368,3045,55557508,16012860,10192878,10585661,9982628,11764425,13031916,12514845,3498015,0,0,1809931,3916036,44736320,21108081,42247539,23868588,1333816,12387212,11293901,17936750,14036089,9128358,2397,648,390,450,464,472,621,553,95,0,0,101,216,1980,748,1750,1137,56,537,434,711,615,533,9
704,1,골목상권,성심여자고등학교,분식전문점,35435338,3431,34030336,1405002,5122406,7704097,7762640,5584886,7856307,1405002,0,0,3723258,22392228,2476318,6843534,0,16877594,6773284,0,5696115,4700905,8506120,3594465,1153273,3278,153,597,516,842,585,738,153,0,0,433,2002,246,750,0,1908,703,0,715,503,843,363,188,3
705,1,골목상권,성심여자고등학교,호프-간이주점,25284507,929,19226846,6057661,4331644,4708437,3081410,2310935,4794420,3877348,2180313,0,783438,3828830,2169178,9247728,9255333,20401602,3522443,0,1024683,2818941,3189101,9529645,7361675,733,196,189,191,129,85,139,96,100,0,18,230,108,309,264,743,125,0,71,102,123,399,173,8
706,1,골목상권,성심여자고등학교,커피-음료,58390258,8874,46827328,11562930,9305866,9199512,10752664,8504466,9064820,7762745,3800185,0,7459431,28440738,14294774,7561235,634080,23645555,24550399,700747,14121069,12906515,9113188,6649545,4704888,7302,1572,1362,1495,1703,1376,1366,970,602,0,1506,3779,2356,1163,70,4127,3847,141,2789,1979,1382,1001,683,15
707,1,골목상권,성심여자고등학교,외국어학원,199524400,675,179772687,19751713,52670248,22314593,71118091,0,33669755,10558045,9193668,5904328,9678208,24418630,52363158,95749571,11410505,87957722,111566678,0,0,0,160218060,39306340,0,611,64,158,79,248,0,126,30,34,16,30,100,193,300,36,304,371,0,0,0,532,143,0,10
708,1,골목상권,성심여자고등학교,일반의원,59328679,1185,44826223,14502456,6707045,12553880,11755218,1941489,11868591,14502456,0,0,15806229,29578855,13943595,0,0,20218201,39110478,0,30894002,8388816,3543561,8201872,8300428,993,192,243,244,193,111,202,192,0,0,323,457,405,0,0,460,725,0,276,122,123,265,399,3
709,1,골목상권,성심여자고등학교,자동차수리,273018580,2865,228165138,44853442,35201800,44391536,34776725,90476929,23318148,29739468,15113974,0,34939790,144087592,67250734,26740464,0,177400393,25615325,0,5576995,67846425,66198027,29207565,34186706,2194,671,389,429,420,541,415,366,305,0,587,1133,1009,136,0,1376,449,0,54,427,547,455,345,14
